laptop_ID,Company,TypeName,Inches,DisplayType,ResolutionWidth,ResolutionHeight,CpuBrand,CpuType,CpuClockSpeed_GHz,Ram,Ram_GB,Memory,PrimaryMemory,SecondaryMemory,MemorySize_GB,Gpu,Gpu_Brand,OpSys,Weight_kg,Price_euros
333,Asus,Ultrabook,15.6,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce 940MX,Nvidia,Windows 10,1.7,1049.9
334,HP,Ultrabook,12.5,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.26,1335.0
335,Dell,Notebook,15.6,4K Ultra HD / Touchscreen,3840,2160,Intel,Core i7,2.8,32GB,32,1TB SSD,SSD,None,1000.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.06,2639.0
336,MSI,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows 10,2.7,1199.0
337,Toshiba,Notebook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,2.0,943.0
338,Asus,Notebook,14.0,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Intel HD Graphics 620,Intel,Windows 10,2.0,1334.0
339,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 520,Intel,Windows 10,1.85,449.0
340,Asus,Gaming,15.6,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.5,999.0
341,HP,Notebook,14.0,Full HD,1920,1080,Intel,Core i5,2.6,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.48,1268.0
342,Dell,Ultrabook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce 940MX,Nvidia,Windows 10,1.9,1049.0
343,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.84,1144.0
344,Asus,Notebook,15.6,,1366,768,Intel,Celeron,1.1,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 500,Intel,Linux,2.0,274.99
345,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce 940MX,Nvidia,Windows 10,2.0,1142.75
346,Dell,Notebook,15.6,,1366,768,Intel,Celeron,1.6,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics,Intel,Linux,2.2,274.9
347,Lenovo,Notebook,15.6,Full HD,1920,1080,AMD,A12,3.6,12GB,12,2TB HDD,HDD,None,2000.0,AMD Radeon 530,AMD,Windows 10,2.2,899.0
348,HP,Notebook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i3,2.4,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce 930MX ,Nvidia,Windows 10,2.1,716.0
349,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen,3840,2160,Intel,Core i7,1.8,16GB,16,512GB SSD,SSD,None,512.0,Intel UHD Graphics 620,Intel,Windows 10,1.4,2099.0
350,Dell,Ultrabook,13.3,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.2,1579.0
351,Lenovo,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,256GB SSD +  2TB HDD,SSD,HDD,2256.0,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows 10,2.4,1129.0
352,HP,Notebook,14.0,,1366,768,Intel,Celeron,1.6,2GB,2,32GB Flash Storage,FlashStorage,None,32.0,Intel HD Graphics 400,Intel,Windows 10,1.44,279.0
353,Dell,Ultrabook,15.6,Full HD,1920,1080,Intel,Core i7,1.9,16GB,16,512GB SSD +  256GB SSD,SSD,SSD,768.0,Intel UHD Graphics 620,Intel,Windows 10,1.88,1607.96
354,Asus,2 in 1 Convertible,11.6,Touchscreen,1366,768,Intel,Celeron,1.1,4GB,4,32GB Flash Storage,FlashStorage,None,32.0,Intel HD Graphics 500,Intel,Windows 10,1.5,375.0
355,Dell,Ultrabook,15.6,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,1TB HDD,HDD,None,1000.0,AMD Radeon 530,AMD,Windows 10,1.9,663.0
356,Dell,Notebook,15.6,4K Ultra HD / Touchscreen,3840,2160,Intel,Core i7,2.8,16GB,16,512GB SSD,SSD,None,512.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.06,2027.42
357,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.84,1304.0
358,MSI,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1060,Nvidia,Windows 10,2.7,1409.0
359,HP,Workstation,15.6,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,256GB SSD,SSD,None,256.0,Nvidia Quadro M1200,Nvidia,Windows 10,2.6,1738.27
360,Toshiba,Notebook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.5,16GB,16,512GB SSD,SSD,None,512.0,Nvidia GeForce 930M,Nvidia,Windows 10,2.4,1403.0
361,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,128GB SSD +  2TB HDD,SSD,HDD,2128.0,AMD Radeon 530,AMD,Windows 10,2.02,970.9
362,Lenovo,Notebook,15.6,,1366,768,Intel,Celeron,1.1,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 500,Intel,No OS,2.2,321.99
363,Dell,Gaming,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.65,999.0
364,Dell,Notebook,15.6,Touchscreen,1366,768,Intel,Core i5,2.5,8GB,8,2TB HDD,HDD,None,2000.0,Intel HD Graphics 620,Intel,Windows 10,2.36,557.37
365,Dell,Notebook,14.0,Full HD,1920,1080,Intel,Core i5,2.6,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.36,1427.0
366,HP,Notebook,15.6,,1366,768,Intel,Core i3,2.0,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 520,Intel,Windows 10,1.86,439.0
367,Asus,Notebook,14.0,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,2.0,945.0
368,Lenovo,Notebook,17.3,,1600,900,Intel,Core i5,2.5,6GB,6,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 940MX,Nvidia,Windows 10,2.8,719.0
369,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Windows 10,1.86,639.0
370,Lenovo,Notebook,15.6,,1366,768,Intel,Core i3,2.0,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce 920MX ,Nvidia,No OS,2.2,499.0
371,HP,Notebook,15.6,,1366,768,Intel,Pentium,1.6,8GB,8,2TB HDD,HDD,None,2000.0,Intel HD Graphics 405,Intel,Windows 10,2.04,389.0
372,Dell,Notebook,17.3,Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,AMD Radeon 530,AMD,Windows 10,2.8,1085.0
373,Lenovo,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1050,Nvidia,No OS,2.4,809.0
374,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon R7 M445,AMD,Windows 10,2.33,899.0
375,HP,Ultrabook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.36,1750.0
376,Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen,1920,1080,Intel,Core i7,2.7,12GB,12,512GB SSD +  2TB HDD,SSD,HDD,2512.0,Nvidia GeForce GT 940MX,Nvidia,Windows 10,2.26,1099.0
377,Acer,Notebook,15.6,,1366,768,AMD,A9,3.0,4GB,4,128GB SSD,SSD,None,128.0,AMD Radeon R5,AMD,Windows 10,2.1,426.0
378,Asus,Gaming,17.3,IPS Panel Full HD,1920,1080,AMD,Ryzen,3.0,16GB,16,256GB SSD +  1TB HDD,SSD,HDD,1256.0,AMD Radeon RX 580,AMD,Windows 10,3.25,2199.0
379,Lenovo,Notebook,17.3,,1600,900,AMD,A8,2.2,4GB,4,128GB SSD,SSD,None,128.0,AMD Radeon R5,AMD,Windows 10,2.6,489.0
380,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,Intel UHD Graphics 620,Intel,Windows 10,1.62,869.01
381,HP,Notebook,15.6,Full HD,1920,1080,AMD,A9,3.0,4GB,4,256GB SSD,SSD,None,256.0,AMD Radeon R5,AMD,Windows 10,1.91,488.99
382,Lenovo,Netbook,11.6,IPS Panel,1366,768,Intel,Celeron,1.1,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 500,Intel,Windows 10,1.59,553.0
383,Dell,Notebook,15.6,,1366,768,Intel,Celeron,1.6,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 400,Intel,Windows 10,1.8,309.0
384,Asus,Notebook,14.0,,1366,768,Intel,Celeron,1.1,4GB,4,32GB Flash Storage,FlashStorage,None,32.0,Intel HD Graphics 500,Intel,Windows 10,1.5,286.0
385,Acer,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce GTX 1050,Nvidia,Linux,2.4,846.0
386,HP,Gaming,17.3,IPS Panel Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,3.35,1191.0
387,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 520,Intel,No OS,1.85,403.5
388,Asus,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1060,Nvidia,Windows 10,2.3,1655.0
389,Lenovo,Notebook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce 940MX,Nvidia,Windows 10,1.5,1099.0
390,Asus,Ultrabook,13.3,Full HD / Touchscreen,1920,1080,Intel,Core i7,2.7,16GB,16,512GB SSD,SSD,None,512.0,Intel HD Graphics 620,Intel,Windows 10,1.1,1748.9
391,Lenovo,Ultrabook,14.0,IPS Panel,2560,1440,Intel,Core i7,2.7,8GB,8,512GB SSD,SSD,None,512.0,Intel HD Graphics 620,Intel,Windows 10,1.13,2282.0
392,Lenovo,Notebook,13.3,IPS Panel Full HD,1920,1080,Intel,Core i3,2.4,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 620,Intel,Windows 10,1.5,549.0
393,Dell,Workstation,15.6,Full HD,1920,1080,Intel,Core i5,2.6,8GB,8,500GB HDD,HDD,None,500.0,AMD FirePro W5130M,AMD,Windows 10,2.23,1369.0
394,Dell,Workstation,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Nvidia Quadro M1200,Nvidia,Windows 10,2.0,2135.0
395,Lenovo,2 in 1 Convertible,14.0,Touchscreen,2560,1440,Intel,Core i7,2.7,16GB,16,512GB SSD,SSD,None,512.0,Intel HD Graphics 620,Intel,Windows 10,1.42,2509.0
396,Asus,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,3.0,1039.0
397,Asus,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows 10,3.0,1591.0
399,Acer,Notebook,15.6,IPS Panel,1366,768,Intel,Core i5,1.6,12GB,12,1TB HDD,HDD,None,1000.0,Nvidia GeForce MX130,Nvidia,Windows 10,2.2,693.99
400,MSI,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows 10,2.7,1349.0
401,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon R7 M445,AMD,Linux,2.33,778.87
402,HP,Ultrabook,15.6,Full HD,1920,1080,AMD,A9,3.0,4GB,4,256GB SSD,SSD,None,256.0,AMD Radeon 520,AMD,Windows 10,1.91,499.0
403,Lenovo,Notebook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon RX 550,AMD,Windows 10,2.1,1229.56
404,Lenovo,Notebook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.9,938.0
405,Dell,Workstation,15.6,4K Ultra HD / Touchscreen,3840,2160,Intel,Core i7,2.8,8GB,8,256GB SSD,SSD,None,256.0,Nvidia Quadro M1200,Nvidia,Windows 10,1.78,2712.0
406,Lenovo,Ultrabook,14.0,IPS Panel,2560,1440,Intel,Core i7,2.7,16GB,16,1TB SSD,SSD,None,1000.0,Intel HD Graphics 620,Intel,Windows 10,1.13,2625.0
407,Lenovo,Notebook,15.6,,1366,768,Intel,Celeron,1.1,4GB,4,1TB HDD,HDD,None,1000.0,Intel HD Graphics 500,Intel,Windows 10,2.2,306.0
408,Asus,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.9,1529.0
409,Lenovo,Notebook,15.6,IPS Panel Full HD,1920,1080,Intel,Core i5,1.6,8GB,8,256GB SSD +  1TB HDD,SSD,HDD,1256.0,AMD Radeon RX 550,AMD,Windows 10,2.1,1144.5
410,Acer,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce GTX 1050,Nvidia,Linux,2.5,879.0
411,MSI,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,16GB,16,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce GTX 1070,Nvidia,Windows 10,2.8,2249.0
412,Asus,Ultrabook,14.0,Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,512GB SSD,SSD,None,512.0,Intel HD Graphics 620,Intel,Windows 10,1.1,1873.0
413,Toshiba,Ultrabook,13.3,Full HD,1920,1080,Intel,Core i7,2.5,16GB,16,512GB SSD,SSD,None,512.0,Intel HD Graphics 520,Intel,Windows 10,1.2,1747.0
414,Dell,Ultrabook,14.0,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,512GB SSD,SSD,None,512.0,Intel HD Graphics,Intel,Windows 10,1.36,1680.0
415,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 520,Intel,Windows 10,2.2,409.0
416,Lenovo,Notebook,11.6,,1366,768,Intel,Celeron,1.1,2GB,2,32GB Flash Storage,FlashStorage,None,32.0,Intel HD Graphics 500,Intel,Windows 10,1.15,304.45
417,Lenovo,Workstation,15.6,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,512GB SSD,SSD,None,512.0,Nvidia Quadro M1200,Nvidia,Windows 10,2.67,1925.0
418,Lenovo,Ultrabook,14.0,IPS Panel Full HD,2560,1440,Intel,Core i7,2.8,8GB,8,512GB SSD,SSD,None,512.0,Nvidia GeForce GT 940MX,Nvidia,Windows 10,1.7,1943.0
419,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,1TB HDD,HDD,None,1000.0,AMD Radeon 520,AMD,Windows 10,2.1,469.0
420,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen,1920,1080,Intel,Core i7,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 520,Intel,Windows 10,1.6,789.01
421,Asus,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.27,928.0
422,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,4GB,4,256GB SSD,SSD,None,256.0,AMD Radeon R5 M430,AMD,Linux,2.3,598.9
423,Dell,Notebook,13.3,,1366,768,Intel,Core i3,2.0,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 520,Intel,Windows 10,1.65,689.0
424,HP,Ultrabook,14.0,Full HD,1920,1080,Intel,Core i7,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 520,Intel,Windows 10,1.43,1500.0
425,Dell,Notebook,15.6,,1366,768,Intel,Core i5,2.5,8GB,8,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Windows 10,2.14,539.95
426,Lenovo,Ultrabook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD,SSD,None,256.0,AMD Radeon RX 550,AMD,Windows 10,1.75,1215.38
427,Lenovo,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen,3840,2160,Intel,Core i7,2.8,16GB,16,512GB SSD,SSD,None,512.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.0,1899.0
428,Chuwi,Notebook,12.3,IPS Panel Retina Display,2736,1824,Intel,Celeron,1.1,6GB,6,64GB Flash Storage,FlashStorage,None,64.0,Intel HD Graphics 500,Intel,Windows 10,1.4,449.0
429,HP,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.9,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 630,Intel,Windows 10,2.31,1427.0
430,Asus,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.4,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce 940MX,Nvidia,Linux,2.3,597.0
431,Dell,Gaming,17.3,IPS Panel,2560,1440,Intel,Core i7,2.9,16GB,16,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce GTX 1070,Nvidia,Windows 10,4.42,2799.0
432,Dell,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows 10,2.62,1159.0
433,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,256GB SSD +  2TB HDD,SSD,HDD,2256.0,AMD Radeon 530,AMD,Windows 10,2.02,1142.4
434,Dell,Ultrabook,14.0,Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Linux,1.6,1099.0
435,HP,Gaming,17.3,Full HD,1920,1080,Intel,Core i7,2.8,12GB,12,256GB SSD +  1TB HDD,SSD,HDD,1256.0,Nvidia GeForce GTX 1070,Nvidia,Windows 10,3.35,1999.0
436,Mediacom,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen,1920,1080,Intel,Celeron,1.1,4GB,4,32GB SSD,SSD,None,32.0,Intel HD Graphics 500,Intel,Windows 10,1.16,299.0
437,Samsung,Netbook,11.6,,1366,768,Intel,Celeron,1.6,4GB,4,16GB Flash Storage,FlashStorage,None,16.0,Intel HD Graphics 400,Intel,Chrome OS,1.15,269.0
438,Lenovo,Notebook,13.3,IPS Panel Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.4,1010.0
439,Lenovo,Notebook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i3,2.7,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 620,Intel,Windows 10,1.7,599.0
440,Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD,3840,2160,Intel,Core i7,2.8,16GB,16,512GB SSD,SSD,None,512.0,Nvidia GeForce 940MX,Nvidia,Windows 10,2.3,2445.0
441,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.9,16GB,16,512GB SSD,SSD,None,512.0,Nvidia Quadro M2200M,Nvidia,Windows 10,2.5,2449.0
442,Asus,Gaming,17.3,Full HD,1920,1080,AMD,Ryzen,3.2,8GB,8,256GB SSD +  1TB HDD,SSD,HDD,1256.0,AMD Radeon RX 580,AMD,Windows 10,3.2,1695.0
443,HP,Notebook,15.6,,1366,768,Intel,Celeron,1.6,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 400,Intel,Windows 10,2.1,347.0
444,Google,Ultrabook,12.3,Touchscreen,2400,1600,Intel,Core i7,1.3,16GB,16,512GB SSD,SSD,None,512.0,Intel HD Graphics 615,Intel,Chrome OS,1.1,2199.0
445,Lenovo,Ultrabook,14.0,,2560,1440,Intel,Core i7,2.7,24GB,24,512GB SSD,SSD,None,512.0,Intel HD Graphics 620,Intel,Windows 10,1.32,2382.0
446,Asus,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,4GB,4,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Linux,2.0,559.0
447,Lenovo,Notebook,17.3,,1600,900,AMD,A6,2.5,8GB,8,1TB HDD,HDD,None,1000.0,AMD Radeon R4,AMD,Windows 10,2.8,519.0
448,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,1.6,4GB,4,256GB SSD,SSD,None,256.0,AMD Radeon 530,AMD,Windows 10,2.2,749.0
449,Lenovo,Ultrabook,12.5,IPS Panel Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.36,1429.0
450,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Pentium,1.1,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 505,Intel,Windows 10,2.2,349.0
451,HP,Gaming,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.8,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.2,1099.0
452,Dell,Notebook,14.0,Full HD,1920,1080,Intel,Core i5,2.8,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce 930MX,Nvidia,Windows 10,1.64,1179.0
453,Acer,Notebook,15.6,,1366,768,Intel,Core i5,2.5,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 620,Intel,Linux,2.4,441.8
454,Dell,Workstation,15.6,Full HD,1920,1080,Intel,Other,3.0,8GB,8,64GB Flash Storage +  1TB HDD,FlashStorage,HDD,1064.0,Nvidia Quadro M620,Nvidia,Windows 10,2.23,1993.0
455,MSI,Gaming,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Nvidia GeForce GTX 1050,Nvidia,Windows 10,2.2,1027.74
456,Microsoft,Ultrabook,13.5,Touchscreen,2256,1504,Intel,Core i7,2.5,16GB,16,512GB SSD,SSD,None,512.0,Intel Iris Plus Graphics 640,Intel,Windows 10 S,1.25,2589.0
457,HP,Notebook,15.6,,1366,768,Intel,Core i5,2.5,8GB,8,128GB SSD,SSD,None,128.0,Intel HD Graphics 620,Intel,Windows 10,1.91,589.0
458,Dell,Workstation,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.7,16GB,16,256GB SSD,SSD,None,256.0,Nvidia Quadro M620,Nvidia,Windows 10,2.17,1975.0
459,HP,Workstation,15.6,IPS Panel Full HD,1920,1080,Intel,Core i7,2.9,8GB,8,512GB SSD,SSD,None,512.0,Intel HD Graphics 620,Intel,Windows 10,2.31,1534.0
460,Lenovo,Notebook,14.0,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 620,Intel,Windows 10,1.65,1345.0
461,Dell,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,1.8,8GB,8,128GB SSD +  1TB HDD,SSD,HDD,1128.0,AMD Radeon 530,AMD,Windows 10,2.36,979.0
462,Dell,2 in 1 Convertible,11.6,Touchscreen,1366,768,Intel,Pentium,1.6,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 405,Intel,Windows 10,1.47,479.0
463,Dell,Notebook,17.3,IPS Panel Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,1TB HDD,HDD,None,1000.0,Nvidia GeForce GTX 1060,Nvidia,Windows 10,4.42,2046.0
464,Microsoft,Ultrabook,13.5,Touchscreen,2256,1504,Intel,Core M,2.2,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 615,Intel,Windows 10 S,1.252,989.0
465,Microsoft,Ultrabook,13.5,Touchscreen,2256,1504,Intel,Core i7,2.5,8GB,8,256GB SSD,SSD,None,256.0,Intel Iris Plus Graphics 640,Intel,Windows 10 S,1.25,1799.0
466,HP,Notebook,17.3,,1600,900,Intel,Core i3,2.0,8GB,8,256GB SSD,SSD,None,256.0,Intel HD Graphics 520,Intel,Windows 10,2.5,639.9
467,Acer,Notebook,15.6,Full HD,1920,1080,Intel,Core i3,2.0,4GB,4,1TB HDD,HDD,None,1000.0,Nvidia GeForce 940MX,Nvidia,Windows 10,2.23,544.0
468,Acer,Netbook,11.6,,1366,768,Intel,Celeron,1.6,4GB,4,128GB SSD,SSD,None,128.0,Intel HD Graphics 400,Intel,Windows 10,1.4,435.0
469,Asus,Notebook,15.6,Full HD,1920,1080,Intel,Core i5,2.5,8GB,8,1TB HDD,HDD,None,1000.0,Intel HD Graphics 620,Intel,Windows 10,2.37,749.0
470,Lenovo,Notebook,14.0,IPS Panel Full HD,1920,1080,Intel,Core i7,2.7,8GB,8,512GB SSD,SSD,None,512.0,AMD Radeon R7 M460,AMD,No OS,1.5,799.0
471,Lenovo,Notebook,15.6,Full HD,1920,1080,Intel,Core i7,2.9,8GB,8,256GB SSD,SSD,None,256.0,Nvidia Quadro M2200M,Nvidia,Windows 10,2.67,2090.0
472,Asus,Notebook,15.6,,1366,768,Intel,Pentium,1.1,4GB,4,500GB HDD,HDD,None,500.0,Intel HD Graphics 500,Intel,Windows 10,2.0,304.0
